#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.78333 - 1.95
#HM    Stats: 1.526470e+10 (median) + 8.441199e+09  / - 5.464701e+09
#SM    Stats: 1.088400e+07 (median) + 1.829960e+07  / - 7.025020e+06
#ObsSM Stats: 1.033900e+07 (median) + 2.336720e+07  / - 7.358160e+06
#VMP   Stats: 7.186000e+01 (median) + 1.152000e+01  / - 8.150002e+00
#ICL   Stats: 0.000000e+00 (median) + 1.401010e+05  / - 0.000000e+00
#SSFR  Stats: 1.148810e-09 (median) + 2.696888e-09  / - 7.784549e-10
sfh 0.055623 0 0 0 #avg: 1.72223e-11; avg_err: 1.72223e-11; sd: 1.35273e-08; counts: 616939
sfh 0.060123 0 0 0 #avg: 4.00694e-07; avg_err: 2.28649e-07; sd: 0.000179593; counts: 616939
sfh 0.062373 0 0 0 #avg: 2.045e-06; avg_err: 7.04199e-07; sd: 0.000553116; counts: 616939
sfh 0.064623 0 0 0 #avg: 7.48598e-06; avg_err: 1.80135e-06; sd: 0.00141488; counts: 616939
sfh 0.066873 0 0 0 #avg: 1.79788e-05; avg_err: 3.58733e-06; sd: 0.00281768; counts: 616939
sfh 0.069123 0 0 0 #avg: 4.24603e-05; avg_err: 6.31183e-06; sd: 0.00495765; counts: 616939
sfh 0.071373 0 0 0 #avg: 7.23574e-05; avg_err: 6.95517e-06; sd: 0.00546297; counts: 616939
sfh 0.073623 0 0 0 #avg: 0.00013295; avg_err: 9.30388e-06; sd: 0.00730777; counts: 616939
sfh 0.075873 0 0 0 #avg: 0.000241672; avg_err: 1.47468e-05; sd: 0.0115829; counts: 616939
sfh 0.078123 0 0 0 #avg: 0.000378482; avg_err: 1.61023e-05; sd: 0.0126476; counts: 616939
sfh 0.080373 0 0 0 #avg: 0.000576097; avg_err: 1.6044e-05; sd: 0.0126019; counts: 616939
sfh 0.082623 0 0 0 #avg: 0.000863121; avg_err: 1.81781e-05; sd: 0.014278; counts: 616939
sfh 0.085998 0 0 0 #avg: 0.00154613; avg_err: 2.44007e-05; sd: 0.0191656; counts: 616939
