#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 1.800000e+10 (median) + 1.276470e+10  / - 7.289699e+09
#SM    Stats: 1.501260e+07 (median) + 1.869230e+07  / - 9.614070e+06
#ObsSM Stats: 1.519050e+07 (median) + 1.971620e+07  / - 9.776860e+06
#VMP   Stats: 5.268000e+01 (median) + 5.549999e+00  / - 6.889999e+00
#ICL   Stats: 0.000000e+00 (median) + 3.304280e+04  / - 0.000000e+00
#SSFR  Stats: 1.796575e-12 (median) + 3.074360e-12  / - 1.194856e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57753
sfh 0.078123 0 0 0 #avg: 2.03825e-08; avg_err: 2.03825e-08; sd: 4.89825e-06; counts: 57753
sfh 0.080373 0 0 0 #avg: 2.59176e-08; avg_err: 2.59176e-08; sd: 6.22843e-06; counts: 57753
sfh 0.082623 0 0 0 #avg: 4.93393e-08; avg_err: 3.60439e-08; sd: 8.66193e-06; counts: 57753
sfh 0.085998 0 0 0 #avg: 1.66136e-06; avg_err: 1.44668e-06; sd: 0.000347661; counts: 57753
sfh 0.089373 0 0 0 #avg: 2.81566e-06; avg_err: 1.88794e-06; sd: 0.000453702; counts: 57753
sfh 0.092748 0 0 0 #avg: 5.53542e-06; avg_err: 3.18516e-06; sd: 0.000765447; counts: 57753
